"","FIPSTXT","State","County","Markets2009","Markets2016","SNAP","WIC","WICCash","Senior","CreditCards","Produce","Animal","Baked","OtherFood","SNAP1000","WIC1000","WICCash1000","Senior1000","CreditCards1000","Produce1000","Animal1000","Baked1000","OtherFood1000","Difference","Increased","Present_2009","Present_2016","Accepts_SNAP","Accepts_WIC","Accepts_WICCash","Accepts_Senior","Accepts_CreditCards","Sells_Produce","Sells_Animal","Sells_Baked","Sells_OtherFood","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","DistrictofColumbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","NewHampshire","NewJersey","NewMexico","NewYork","NorthCarolina","NorthDakota","Ohio","Oklahoma","Oregon","Pennsylvania","RhodeIsland","SouthCarolina","SouthDakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","WestVirginia","Wisconsin","Wyoming","Midwest","Northeast","South","West","Markets_2009_norm","Markets_2016_norm","SNAP_norm","WIC_norm","WICCash_norm","Senior_norm","CreditCards_norm","Produce_norm","Animal_norm","Baked_norm","OtherFood_norm"
"11",1021,"AL","Chilton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.093,-0.962,0.791,1.374,-0.51,0.935,1.524,-1.065,-0.48,-0.239,0.636
"12",1023,"AL","Choctaw",0.071,0.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00600000000000001,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.455,-0.545,-0.382,0.425,-0.433,-2.317,-2.293,-0.751,-1.403,0.81,0.476
"13",1025,"AL","Clarke",0.038,0.082,1,0,0,2,1,2,1,1,1,0.082,0,0,0.164,0.082,0.164,0.082,0.082,0.082,0.044,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.209,1.169,1.745,-0.636,0.567,1.212,-0.292,-1.671,-0.926,1.263,0.161
"14",1027,"AL","Clay",0.073,0.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.253,4.325,0.273,0.614,1.234,-0.753,0.837,0.335,-0.433,2.3,-0.049
"15",1029,"AL","Cleburne",0.068,0.067,0,0,0,1,1,1,1,1,1,0,0,0,0.067,0.067,0.067,0.067,0.067,0.067,-0.001,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.006,-0.067,-0.579,1.01,0.562,-0.125,2.743,-0.579,0.064,-0.185,-0.84
"16",1031,"AL","Coffee",0.021,0.02,0,0,0,1,0,1,1,1,1,0,0,0,0.02,0,0.02,0.02,0.02,0.02,-0.001,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.203,0.201,-0.84,0.284,0.035,0.644,-0.023,-0.251,1.5,0.354,-0.112
"17",1033,"AL","Colbert",0.055,0.055,1,1,1,1,1,1,1,1,1,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.825,-0.008,0.368,0.068,-1.229,1.038,0.351,1.088,-0.148,-0.58,-0.565
"18",1035,"AL","Conecuh",0,0.081,0,0,0,1,0,1,1,1,1,0,0,0,0.081,0,0.081,0.081,0.081,0.081,0.081,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.075,-0.403,-0.413,0.187,1.639,-1.598,-0.756,-0.34,-2.247,-0.783,0.93
"19",1037,"AL","Coosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.195,-0.635,0.658,-1.379,1.722,-0.7,0.633,1.149,-1.198,-0.542,-0.681
"20",1039,"AL","Covington",0.082,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.029,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.373,1.258,-0.159,0.604,-0.073,0.332,-0.326,-1.198,0.274,0.325,1.98
"21",1041,"AL","Crenshaw",0.073,0.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.1,2.572,-2.22,1.5,0.056,-0.747,3.364,0.04,-1.411,1,-0.129
"22",1043,"AL","Cullman",0.012,0.012,1,0,0,1,1,1,1,1,1,0.012,0,0,0.012,0.012,0.012,0.012,0.012,0.012,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.344,0.654,1.607,-1.188,-0.36,0.415,-0.051,0.825,-0.434,-0.877,0.198
"23",1045,"AL","Dale",0.042,0.041,0,0,0,1,0,1,1,0,1,0,0,0,0.041,0,0.041,0.041,0,0.041,-0.001,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.234,-0.374,-1.208,0.522,-0.113,0.712,-0.544,1.751,1.134,0.696,0.675
"24",1047,"AL","Dallas",0.024,0.025,1,1,1,1,0,1,1,1,1,0.025,0.025,0.025,0.025,0,0.025,0.025,0.025,0.025,0.001,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.623,0.339,0.902,-0.844,0.338,-1.913,-0.446,-0.212,0.448,-1.089,-1.327
"25",1049,"AL","DeKalb",0.029,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.161,-0.613,-0.625,-0.08,-0.107,0.119,-0.043,-0.567,-0.735,0.148,-1.184
"26",1051,"AL","Elmore",0,0.024,0,0,0,1,1,1,0,1,1,0,0,0,0.024,0.024,0.024,0,0.024,0.024,0.024,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.396,-1.711,-0.5,-0.765,-0.22,-0.046,-1.688,-1.246,0.312,0.841,-2.166
"27",1053,"AL","Escambia",0.08,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.158,-0.011,-0.711,-0.36,0.213,-0.462,1.104,0.38,-0.234,0.779,-0.49
"28",1055,"AL","Etowah",0.019,0.029,0,0,0,2,1,2,1,1,1,0,0,0,0.058,0.029,0.058,0.029,0.029,0.029,0.01,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.248,0.456,2.063,0.404,-0.528,-0.323,-0.377,-0.613,0.759,-0.728,-1.477
"29",1057,"AL","Fayette",0.058,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00199999999999999,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.619,-0.136,-0.653,-0.083,-1.651,0.723,-0.196,-0.708,0.805,-1.855,0.129
"30",1059,"AL","Franklin",0.032,0.063,1,0,0,1,0,1,1,1,1,0.063,0,0,0.063,0,0.063,0.063,0.063,0.063,0.031,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.797,-0.307,1.643,-0.327,1.37,0.095,0.563,0.401,0.88,-0.22,-0.797
"31",1061,"AL","Geneva",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.116,-0.361,1.191,0.545,1.821,-0.458,-0.317,0.4,0.763,-1.208,-0.662
"32",1063,"AL","Greene",0.227,0.237,0,0,1,1,0,0,0,0,0,0,0,0.237,0.237,0,0,0,0,0,0.00999999999999998,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.241,2.217,1.222,-1.414,0.377,-0.833,0.504,1.644,-0.08,-1.023,-1.967
"33",1065,"AL","Hale",0,0.067,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.067,0,0.067,0.067,0.067,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.122,0.151,0.321,0.308,-0.586,0.602,-0.218,-1.005,-0.97,-0.121,-1.499
"34",1067,"AL","Henry",0,0.117,0,0,0,0,1,0,0,0,0,0,0,0,0,0.117,0,0,0,0,0.117,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.326,-0.186,-0.454,1.233,-0.959,1.409,-0.302,0.02,1.318,1.186,-0.349
"35",1069,"AL","Houston",0.03,0.029,0,0,0,3,3,3,1,2,3,0,0,0,0.087,0.087,0.087,0.029,0.058,0.087,-0.000999999999999997,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.885,-0.9,1.265,0.49,-0.036,-1.867,-0.191,0.327,-1.236,-0.163,-0.235
"36",1071,"AL","Jackson",0.019,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.096,1.409,0.235,0.635,1.032,1.352,1.615,-0.704,0.344,0.685,0.207
"37",1073,"AL","Jefferson",0.012,0.026,4,1,0,6,8,10,6,9,9,0.104,0.026,0,0.156,0.208,0.26,0.156,0.234,0.234,0.014,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.632,-0.213,0.268,-1.783,-2.772,-1.831,-1.153,-1.005,-1.013,1.125,-1.324
"38",1075,"AL","Lamar",0,0.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.184,-0.756,0.086,1.063,0.482,0.817,-0.194,0.207,-0.829,1.094,-0.282
"39",1077,"AL","Lauderdale",0.011,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.359,-0.462,-0.676,-0.471,-2.275,3.027,-2.161,1.179,-1.763,1.27,-1.673
"40",1079,"AL","Lawrence",0.059,0.03,1,1,0,1,1,1,1,1,1,0.03,0.03,0,0.03,0.03,0.03,0.03,0.03,0.03,-0.029,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.981,-0.017,-0.321,1.662,0.158,0.876,-1.049,-0.094,-0.639,-0.027,0.647
"41",1081,"AL","Lee",0.022,0.025,1,0,1,0,3,2,1,1,2,0.025,0,0.025,0,0.075,0.05,0.025,0.025,0.05,0.003,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.612,-1.357,0.447,0.41,-0.128,-2.018,1.086,0.619,-2.749,0.148,1.101
"42",1083,"AL","Limestone",0.013,0.011,0,0,0,0,1,1,1,1,1,0,0,0,0,0.011,0.011,0.011,0.011,0.011,-0.002,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.252,-0.003,-0.552,0.504,1.354,-0.997,-0.099,0.467,0.053,1.321,-1.813
"43",1085,"AL","Lowndes",0.081,0.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.643,1.969,0.907,1.009,0.178,-1.267,-0.53,0.737,-1.908,-0.081,-0.13
"44",1087,"AL","Macon",0.046,0.053,0,0,0,1,0,1,1,0,1,0,0,0,0.053,0,0.053,0.053,0,0.053,0.007,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.821,0.174,1.393,-0.2,-0.401,-1.811,1.56,-0.131,-1.367,-0.721,0.057
"45",1089,"AL","Madison",0.009,0.02,3,3,0,4,5,5,5,5,5,0.06,0.06,0,0.08,0.1,0.1,0.1,0.1,0.1,0.011,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.092,0.441,-1.499,0.07,0.675,-0.012,0.503,-1.512,-2.394,0.787,-0.525
"46",1091,"AL","Marengo",0.095,0.152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.226,0.439,0.452,-0.993,1.364,-1.688,0.454,-0.613,1.102,0.372,-0.238
"47",1093,"AL","Marion",0.034,0.067,0,0,0,1,0,1,0,1,1,0,0,0,0.067,0,0.067,0,0.067,0.067,0.033,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.432,0.974,-0.696,1.357,-0.433,-0.978,-0.209,-0.205,-1.286,0.414,-1.965
"48",1095,"AL","Marshall",0.033,0.032,0,0,0,1,1,2,2,2,2,0,0,0,0.032,0.032,0.064,0.064,0.064,0.064,-0.001,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.408,-1.19,1.496,0.19,0.585,0.053,-1.41,-1.181,0.377,-0.338,-1.281
"49",1097,"AL","Mobile",0.01,0.012,0,0,0,1,0,1,0,0,0,0,0,0,0.012,0,0.012,0,0,0,0.002,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.638,-1.572,1.685,-0.199,-0.318,0.768,1.13,-0.343,2.192,-0.728,-1.047
"50",1099,"AL","Monroe",0.089,0.093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.348,2.175,0.359,1.217,-0.569,0.183,0.329,-0.176,-2.038,0.828,-0.204
