FIPSTXT,State,County,DIRSALES_FARMS07,DIRSALES_FARMS12,PCH_DIRSALES_FARMS_07_12,PCT_LOCLFARM07,PCT_LOCLFARM12,PCT_LOCLSALE07,PCT_LOCLSALE12,DIRSALES07,DIRSALES12,PCH_DIRSALES_07_12,PC_DIRSALES07,PC_DIRSALES12,PCH_PC_DIRSALES_07_12,FMRKT09,FMRKT16,PCH_FMRKT_09_16,FMRKTPTH09,FMRKTPTH16,PCH_FMRKTPTH_09_16,FMRKT_SNAP16,PCT_FMRKT_SNAP16,FMRKT_WIC16,PCT_FMRKT_WIC16,FMRKT_WICCASH16,PCT_FMRKT_WICCASH16,FMRKT_SFMNP16,PCT_FMRKT_SFMNP16,FMRKT_CREDIT16,PCT_FMRKT_CREDIT16,FMRKT_FRVEG16,PCT_FMRKT_FRVEG16,FMRKT_ANMLPROD16,PCT_FMRKT_ANMLPROD16,FMRKT_BAKED16,PCT_FMRKT_BAKED16,FMRKT_OTHERFOOD16,PCT_FMRKT_OTHERFOOD16,VEG_FARMS07,VEG_FARMS12,PCH_VEG_FARMS_07_12,VEG_ACRES07,VEG_ACRES12,PCH_VEG_ACRES_07_12,VEG_ACRESPTH07,VEG_ACRESPTH12,PCH_VEG_ACRESPTH_07_12,FRESHVEG_FARMS07,FRESHVEG_FARMS12,PCH_FRESHVEG_FARMS_07_12,FRESHVEG_ACRES07,FRESHVEG_ACRES12,PCH_FRESHVEG_ACRES_07_12,FRESHVEG_ACRESPTH07,FRESHVEG_ACRESPTH12,PCH_FRESHVEG_ACRESPTH_07_12,ORCHARD_FARMS07,ORCHARD_FARMS12,PCH_ORCHARD_FARMS_07_12,ORCHARD_ACRES07,ORCHARD_ACRES12,PCH_ORCHARD_ACRES_07_12,ORCHARD_ACRESPTH07,ORCHARD_ACRESPTH12,PCH_ORCHARD_ACRESPTH_07_12,BERRY_FARMS07,BERRY_FARMS12,PCH_BERRY_FARMS_07_12,BERRY_ACRES07,BERRY_ACRES12,PCH_BERRY_ACRES_07_12,BERRY_ACRESPTH07,BERRY_ACRESPTH12,PCH_BERRY_ACRESPTH_07_12,SLHOUSE07,SLHOUSE12,PCH_SLHOUSE_07_12,GHVEG_FARMS07,GHVEG_FARMS12,PCH_GHVEG_FARMS_07_12,GHVEG_SQFT07,GHVEG_SQFT12,PCH_GHVEG_SQFT_07_12,GHVEG_SQFTPTH07,GHVEG_SQFTPTH12,PCH_GHVEG_SQFTPTH_07_12,FOODHUB16,CSA07,CSA12,PCH_CSA_07_12,AGRITRSM_OPS07,AGRITRSM_OPS12,PCH_AGRITRSM_OPS_07_12,AGRITRSM_RCT07,AGRITRSM_RCT12,PCH_AGRITRSM_RCT_07_12,FARM_TO_SCHOOL09,FARM_TO_SCHOOL13
01021,AL,Chilton,58,58,0,8.992248062,10.6813996317,3.7323712693,5.1998254255,569,834,46.5729349736,13.2692801007,19.0859784425,43.8358245327,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,37,45,21.6216216216,411,463,-11.2311015119,9.5846645367,9.4056800238,-1.867405085,37,45,21.6216216216,407,453,11.3022113022,9.4913831301,10.3668444058,9.2237481486,70,59,-15.7142857143,2005,1655,-17.4563591022,46.7573051002,37.8744536238,-18.9977832497,20,20,0,27,28,3.7037037037,0.6296494951,0.6407762547,1.7671354674,1,1,0,0,1,,0,,,0,,,0,3,1,-66.6666666667,11,4,-63.6363636364,59000,14000,-76.2711864407,0,0
01023,AL,Choctaw,8,14,75,3.0303030303,5.6451612903,,,,26,,,1.9198109725,,1,1,0,0.0714796283,0.0769645194,7.6733625799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,-22.2222222222,52,59,-11.8644067797,3.6578503095,3.8396219449,4.9693568633,18,14,-22.2222222222,52,59,13.4615384615,3.6578503095,4.3564941298,19.0998472103,4,7,75,28,64,128.5714285714,1.9696117051,4.7256885476,139.9299585447,2,0,-100,,0,,,0,,0,0,0,0,0,,0,0,,0,0,,0,2,0,-100,0,2,,0,,,0,0
01025,AL,Clarke,19,18,-5.2631578947,5.9190031153,6.8441064639,,1.6191210486,35,42,20,1.3239521864,1.6703786192,26.1660833598,1,2,100,0.0383995085,0.0819940964,113.5290259101,1,50,0,0,0,0,2,100,1,50,2,100,1,50,1,50,1,50,14,16,14.2857142857,46,71,-35.2112676056,1.740051445,1.8294622972,5.1384027999,14,16,14.2857142857,46,,,1.740051445,,,14,7,-50,88,50,-43.1818181818,3.3287940687,1.9885459752,-40.2622711364,3,0,-100,1,0,-100,0.0378272053,0,-100,1,0,-100,0,0,,0,0,,0,0,,0,0,0,,8,10,25,23000,17000,-26.0869565217,0,0
01027,AL,Clay,20,11,-45,4.6296296296,2.7431421446,0.0904317386,0.0671429801,31,39,25.8064516129,2.2009229677,2.8983353151,31.6872674619,1,2,100,0.073313783,0.1482359917,102.1938926771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,350,,23,,,,,2,8,300,,,,,,,9,6,-33.3333333333,21,20,-4.7619047619,1.4909478168,1.4863258026,-0.310005096,7,9,28.5714285714,20,18,-10,1.4199503017,1.3376932224,-5.7929548157,2,1,-50,3,1,-66.6666666667,26000,,,1845.9353922613,,,0,1,2,100,1,10,900,,2000,,0,0
01029,AL,Cleburne,19,14,-26.3157894737,5,4.1055718475,0.0375234522,0.0106780566,25,9,-64,1.6893033313,0.6031767308,-64.2943502446,1,1,0,0.067755268,0.0670061646,-1.1056017154,0,0,0,0,0,0,1,100,1,100,1,100,1,100,1,100,1,100,6,10,66.6666666667,17,27,-37.037037037,1.1487262653,1.1393338248,-0.8176395684,6,8,33.3333333333,17,,,1.1487262653,,,8,11,37.5,52,72,38.4615384615,3.5137509291,4.8254138463,37.3294221361,0,10,,0,9,,0,0.6031767308,,1,0,-100,0,0,,0,0,,0,0,,0,0,3,,3,6,100,,80000,,0,0
01031,AL,Coffee,34,37,8.8235294118,3.5015447992,4.1156840934,0.0483300689,0.039896656,95,103,8.4210526316,2.0017699861,2.012780177,0.5500227813,1,1,0,0.0205613241,0.0195213368,-5.0579783704,0,0,0,0,0,0,1,100,0,0,1,100,1,100,1,100,1,100,18,16,-11.1111111111,126,81,55.5555555556,2.6549791394,2.4622359447,-7.2596877259,18,16,-11.1111111111,126,,,2.6549791394,,,46,51,10.8695652174,314,519,65.2866242038,6.6163765856,10.1420671057,53.2873314339,4,10,150,8,25,212.5,0.1685701041,0.4885388779,189.8134758564,1,1,0,0,0,,0,0,,0,0,,0,9,5,-44.4444444444,4,13,225,8000,44000,450,0,1
01033,AL,Colbert,37,26,-29.7297297297,5.027173913,3.7845705968,0.1602677414,0.1074562713,68,72,5.8823529412,1.2480270161,1.3217799971,5.9095660588,3,3,0,0.0549058365,0.0553342187,0.7802124834,1,33.3333333333,1,33.3333333333,1,33.3333333333,1,33.3333333333,1,33.3333333333,1,33.3333333333,1,33.3333333333,1,33.3333333333,1,33.3333333333,30,11,-63.3333333333,61,58,5.1724137931,1.1195536468,1.1198413864,0.0257012777,30,11,-63.3333333333,,58,,,1.0647672199,,20,12,-40,38,72,89.4736842105,0.6974268619,1.3217799971,89.5223813683,6,0,-100,2,0,-100,0.0367066769,0,-100,0,0,0,1,1,0,,,,,,,0,7,1,-85.7142857143,10,3,-70,17000,1000,-94.1176470588,0,1
01035,AL,Conecuh,8,13,62.5,1.9950124688,3.7572254335,0.1514768998,0.1157618961,12,19,58.3333333333,0.892790715,1.4619883041,63.7548732943,0,1,,0,0.0806776926,,0,0,0,0,0,0,1,100,0,0,1,100,1,100,1,100,1,100,11,12,9.0909090909,73,90,-18.8888888889,5.4311435161,5.6171129578,3.4241305017,11,12,9.0909090909,62,,,4.6127520274,,,23,21,-8.6956521739,138,116,-15.9420289855,10.2670932222,8.9258233303,-13.0637743609,1,1,0,,,,,,,0,0,0,0,0,,0,0,,0,0,,0,3,2,-33.3333333333,8,8,0,104000,224000,115.3846153846,0,1
01037,AL,Coosa,7,18,157.1428571429,3.3816425121,11.8421052632,,1.3384321224,12,28,133.3333333333,1.0490427485,2.5011165699,138.4189370255,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,6,8,33.3333333333,12,,,1.0490427485,1.0719071014,2.1795444395,6,7,16.6666666667,12,,,1.0490427485,,,3,2,-33.3333333333,,,,,,,3,8,166.6666666667,8,17,112.5,0.6993618323,1.5185350603,117.1315319339,0,0,0,0,0,,0,0,,0,0,,0,0,1,,7,3,-57.1428571429,57000,87000,52.6315789474,0,0
01039,AL,Covington,40,37,-7.5,3.6496350365,3.5204567079,0.1460143912,0.0559078772,125,67,-46.4,3.3217294252,1.7716431329,-46.6650378127,3,2,-33.3333333333,0.0817929004,0.0533931336,-34.7215548081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,5.2631578947,40,55,-27.2727272727,1.0629534161,1.0576973928,-0.4944735311,16,20,25,38,55,44.7368421053,1.0098057453,1.4543339151,44.0211567313,77,65,-15.5844155844,1241,1287,3.7066881547,32.9781297335,34.0314136126,3.1938860318,7,8,14.2857142857,5,11,120,0.132869177,0.290866783,118.9121582315,1,1,0,0,0,,0,0,,0,0,,0,5,4,-20,16,10,-37.5,153000,13000,-91.5032679739,0,1
01041,AL,Crenshaw,16,14,-12.5,2.5078369906,2.4347826087,0.013395608,0.0034764229,15,5,-66.6666666667,1.0748065348,0.3583972475,-66.6547200917,1,1,0,0.0725636746,0.0718752246,-0.9487529649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,42,42,0,3.0094582975,3.0105368791,0.0358397248,12,11,-8.3333333333,,,,,,,36,20,-44.4444444444,320,247,-22.8125,22.9292060762,17.704824027,-22.7848362125,1,2,100,,,,,,,0,0,0,0,2,,0,,,0,,,0,1,1,0,11,2,-81.8181818182,26000,,,0,0
01043,AL,Cullman,75,74,-1.3333333333,3.0425963489,3.6870951669,0.0623349233,0.0644937005,253,269,6.3241106719,3.179350558,3.3468534601,5.2684628217,1,1,0,0.0122282276,0.0121254744,-0.8402953766,1,100,0,0,0,0,1,100,1,100,1,100,1,100,1,100,1,100,68,66,-2.9411764706,1329,1094,21.4808043876,16.7010153815,16.5351979496,-0.992858387,68,62,-8.8235294118,,911,,,11.3345111603,,17,21,23.5294117647,128,150,17.1875,1.6085251835,1.8662751636,16.0239940777,17,14,-17.6470588235,31,14,-54.8387096774,0.3895646929,0.1741856819,-55.2870973361,1,3,200,2,5,150,,11285,,,140.4061014756,,0,5,13,160,9,9,0,27000,104000,285.1851851852,0,1
01045,AL,Dale,24,23,-4.1666666667,4.5454545455,4.7227926078,0.0236016049,0.0347313404,18,41,127.7777777778,0.3637245393,0.8147206104,123.9938531648,2,2,0,0.0415394521,0.0406289359,-2.1919310933,0,0,0,0,0,0,1,50,0,0,1,50,1,50,0,0,1,50,11,11,0,58,,,1.1720012932,1.1525315953,-1.6612351959,11,11,0,58,,,1.1720012932,,,46,51,10.8695652174,493,453,-8.1135902637,9.9620109926,9.0016691837,-9.6400396425,5,8,60,7,5,-28.5714285714,0.1414484319,0.099356172,-29.75802514,0,0,0,0,0,,0,0,,0,0,,0,1,0,-100,11,10,-9.0909090909,29000,,,0,1
01047,AL,Dallas,22,20,-9.0909090909,3.963963964,3.95256917,0.1001160436,0.1950649979,44,137,211.3636363636,0.9956102638,3.2026556327,221.6776432535,1,1,0,0.0238521169,0.024995001,4.7915416917,1,100,1,100,1,100,1,100,0,0,1,100,1,100,1,100,1,100,25,26,4,399,416,-4.0865384615,9.0283748925,9.3274423171,3.3125277602,25,26,4,399,,,9.0283748925,,,13,17,30.7692307692,135,304,125.1851851852,3.0547133095,7.1066227178,132.6445069564,1,2,100,,,,,,,1,1,0,0,0,,0,0,,0,0,,0,7,2,-71.4285714286,22,47,113.6363636364,257000,456000,77.4319066148,0,1
01049,AL,DeKalb,78,76,-2.5641025641,3.2151690025,3.7346437346,0.0639631572,0.0363869492,265,168,-36.6037735849,3.8156947444,2.3681317132,-37.9370764212,2,2,0,0.0288267512,0.0282087447,-2.143864598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,35,-22.2222222222,1152,799,44.1802252816,16.5874730022,16.2386174622,-2.1031264977,45,34,-24.4444444444,,,,,,,19,14,-26.3157894737,95,44,-53.6842105263,1.3678905688,0.6202249725,-54.6582901674,22,13,-40.9090909091,19,15,-21.0526315789,0.2735781138,0.2114403315,-22.7129946034,1,1,0,2,6,200,,13200,,,186.0674917538,,0,22,4,-81.8181818182,7,10,42.8571428571,45000,,,0,0
01051,AL,Elmore,29,40,37.9310344828,4.6325878594,7.2463768116,0.6750434434,0.4907882815,101,130,28.7128712871,1.3095793787,1.6162721305,23.4191799924,0,2,,0,0.0244501767,,0,0,0,0,0,0,1,50,1,50,1,50,0,0,1,50,1,50,19,29,52.6315789474,182,149,22.1476510067,2.3598361081,2.2627809827,-4.112790929,19,26,36.8421052632,,103,,,1.2805848419,,27,33,22.2222222222,435,202,-53.5632183908,5.640267621,2.5114382335,-55.4730661325,9,20,122.2222222222,14,23,64.2857142857,0.1815258545,0.2859558385,57.528986331,0,0,0,1,3,200,,,,,,,0,5,5,0,4,7,75,,,,0,1
01053,AL,Escambia,17,23,35.2941176471,3.3864541833,5.0660792952,0.1235567296,0.1223810456,29,50,72.4137931034,0.7664050318,1.3146132408,71.5298290277,3,3,0,0.0801410482,0.0795165394,-0.7792620865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,14.2857142857,43,38,13.1578947368,1.1363936679,1.1305673871,-0.5126991639,14,15,7.1428571429,,,,,,,20,13,-35,349,163,-53.2951289398,9.2232881419,4.285639165,-53.5345844233,9,4,-55.5555555556,46,7,-84.7826086957,1.2156769471,0.1840458537,-84.8606281336,0,0,0,0,0,,0,0,,0,0,,0,3,9,200,6,2,-66.6666666667,43000,,,0,0
01055,AL,Etowah,49,45,-8.1632653061,4.8804780876,5.2754982415,0.0831355714,0.1660078107,55,139,152.7272727273,0.5293908156,1.3335252075,151.8980625074,2,3,50,0.0192966376,0.0292500293,51.580964081,0,0,0,0,0,0,2,66.6666666667,1,33.3333333333,2,66.6666666667,1,33.3333333333,1,33.3333333333,1,33.3333333333,28,29,3.5714285714,513,224,129.0178571429,4.937772516,4.9215714491,-0.3281047633,28,28,0,513,223,-56.530214425,4.937772516,2.1393965559,-56.672840862,23,14,-39.1304347826,66,59,-10.6060606061,0.6352689787,0.5660286852,-10.8993663793,13,5,-61.5384615385,6,9,50,0.0577517253,0.0863433588,49.5078428551,6,4,-33.3333333333,0,1,,0,,,0,,,0,0,0,,2,10,400,,87000,,0,0
01057,AL,Fayette,17,25,47.0588235294,4.2394014963,6.038647343,0.1389103257,0.1403837155,18,51,183.3333333333,1.0272213662,3.0070754717,192.7387971698,1,1,0,0.0575672097,0.060437568,4.9860993594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,22,29.4117647059,45,92,-51.0869565217,2.5680534155,2.6533018868,3.3195754717,17,22,29.4117647059,,92,,,5.4245283019,,6,5,-16.6666666667,8,305,3712.5,0.4565428294,17.983490566,3839.0588148585,3,1,-66.6666666667,1,,,0.0570678537,,,0,0,0,0,0,,0,0,,0,0,,0,0,0,,1,1,0,,,,0,0
01059,AL,Franklin,31,24,-22.5806451613,3.235908142,2.9090909091,0.0434616451,0.0361810863,58,48,-17.2413793103,1.8707263579,1.5166835187,-18.9254210104,1,2,100,0.0321636486,0.0632351081,96.6042746933,1,50,0,0,0,0,1,50,0,0,1,50,1,50,1,50,1,50,32,22,-31.25,92,51,80.3921568627,2.9673590504,2.9069767442,-2.0348837209,32,21,-34.375,,46,,,1.4534883721,,7,1,-85.7142857143,9,,,0.2902851245,,,6,2,-66.6666666667,4,,,0.1290156109,,,0,1,,0,1,,0,,,0,,,0,4,5,25,7,1,-85.7142857143,,,,0,1
01061,AL,Geneva,45,44,-2.2222222222,4.0613718412,4.3264503441,0.3560817227,0.107573873,465,192,-58.7096774194,17.6658308639,7.1095312153,-59.7554665272,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,38,37,-2.6315789474,674,528,27.6515151515,25.6059569941,24.9574168703,-2.5327704954,38,37,-2.6315789474,,488,,,18.0700585055,,72,56,-22.2222222222,599,433,-27.7128547579,22.7566294355,16.0334740428,-29.5437222446,9,13,44.4444444444,13,28,115.3846153846,0.4938834435,1.0368066356,109.9294173944,2,1,-50,1,4,300,,,,,,,0,10,5,-50,11,22,100,77000,24000,-68.8311688312,0,1
01063,AL,Greene,20,23,15,6.3291139241,7.5657894737,0.7299587226,0.6073597713,168,136,-19.0476190476,17.9009057006,15.3933220147,-14.0081386261,2,2,0,0.2265262204,0.2374732843,4.8325813346,0,0,0,0,1,50,1,50,0,0,0,0,0,0,0,0,0,0,26,21,-19.2307692308,117,64,82.8125,12.4667021843,13.2427843803,6.2252405207,26,17,-34.6153846154,,62,,,7.0175438596,,6,5,-16.6666666667,14,13,-7.1428571429,1.4917421417,1.4714204867,-1.3622766594,3,5,66.6666666667,3,7,133.3333333333,0.3196590304,0.792303339,147.8588945482,0,1,,0,0,,0,0,,0,0,,0,7,1,-85.7142857143,18,30,66.6666666667,,309000,,0,
01065,AL,Hale,16,20,25,3.3402922756,4.3859649123,0.0726266644,0.0675074412,42,44,4.7619047619,2.5581678645,2.8569573404,11.6798228934,0,1,,0,0.0668806849,,0,0,0,0,0,0,0,0,0,0,1,100,0,0,1,100,1,100,18,19,5.5555555556,46,118,-61.0169491525,2.8018028993,2.9868190377,6.6034673073,18,17,-5.5555555556,46,109,136.9565217391,2.8018028993,7.0774625024,152.6038681847,10,2,-80,34,,,2.0708977951,,,1,1,0,,,,,,,1,1,0,0,0,,0,0,,0,0,,0,0,4,,9,13,44.4444444444,149000,42000,-71.8120805369,0,0
